# clock	walking	resting	collected_food	energy
1	0	2	0	0
2	0	2	0	0
3	0	2	0	0
4	0	2	0	0
5	0	2	0	0
6	0	2	0	0
7	0	2	0	0
8	0	2	0	0
9	1	1	0	-1
10	2	0	0	-3
11	2	0	0	-5
12	2	0	0	-7
13	2	0	0	-9
14	2	0	0	-11
15	2	0	0	-13
16	2	0	0	-15
17	2	0	0	-17
18	2	0	0	-19
19	2	0	0	-21
20	2	0	0	-23
21	2	0	0	-25
22	2	0	0	-27
23	2	0	0	-29
24	2	0	0	-31
25	2	0	0	-33
26	2	0	0	-35
27	2	0	0	-37
28	2	0	0	-39
29	2	0	0	-41
30	2	0	0	-43
31	2	0	0	-45
32	2	0	0	-47
33	2	0	0	-49
34	2	0	0	-51
35	2	0	0	-53
36	2	0	0	-55
37	2	0	0	-57
38	2	0	0	-59
39	2	0	0	-61
40	2	0	0	-63
41	2	0	0	-65
42	2	0	0	-67
43	2	0	0	-69
44	2	0	0	-71
45	2	0	0	-73
46	2	0	0	-75
47	2	0	0	-77
48	2	0	0	-79
49	2	0	0	-81
50	2	0	0	-83
51	2	0	0	-85
52	2	0	0	-87
53	2	0	0	-89
54	2	0	0	-91
55	2	0	0	-93
56	2	0	0	-95
57	2	0	0	-97
58	2	0	0	-99
59	2	0	0	-101
60	2	0	0	-103
61	2	0	0	-105
62	2	0	0	-107
63	2	0	0	-109
64	2	0	0	-111
65	2	0	0	-113
66	2	0	0	-115
67	2	0	0	-117
68	2	0	0	-119
69	2	0	0	-121
70	2	0	0	-123
71	2	0	0	-125
72	2	0	0	-127
73	2	0	0	-129
74	2	0	0	-131
75	2	0	0	-133
76	2	0	0	-135
77	2	0	0	-137
78	2	0	0	-139
79	2	0	0	-141
80	2	0	0	-143
81	2	0	0	-145
82	2	0	0	-147
83	2	0	0	-149
84	2	0	0	-151
85	2	0	0	-153
86	2	0	0	-155
87	2	0	0	-157
88	2	0	0	-159
89	2	0	0	-161
90	2	0	0	-163
91	2	0	0	-165
92	2	0	0	-167
93	2	0	0	-169
94	2	0	0	-171
95	2	0	0	-173
96	2	0	0	-175
97	2	0	0	-177
98	2	0	0	-179
99	2	0	0	-181
100	2	0	0	-183
101	2	0	0	-185
102	2	0	0	-187
103	2	0	0	-189
104	2	0	0	-191
105	2	0	0	-193
106	2	0	0	-195
107	2	0	0	-197
108	2	0	0	-199
109	2	0	0	-201
110	2	0	0	-203
111	2	0	0	-205
112	2	0	0	-207
113	2	0	0	-209
114	2	0	0	-211
115	2	0	0	-213
116	2	0	0	-215
117	2	0	0	-217
118	2	0	0	-219
119	2	0	0	-221
120	2	0	0	-223
121	2	0	0	-225
122	2	0	0	-227
123	2	0	0	-229
124	2	0	0	-231
125	2	0	0	-233
126	2	0	0	-235
127	2	0	0	-237
128	2	0	0	-239
129	2	0	0	-241
130	2	0	0	-243
131	2	0	0	-245
132	2	0	0	-247
133	2	0	0	-249
134	2	0	0	-251
135	2	0	0	-253
136	2	0	0	-255
137	2	0	0	-257
138	2	0	0	-259
139	2	0	0	-261
140	2	0	0	-263
141	2	0	0	-265
142	2	0	0	-267
143	2	0	0	-269
144	2	0	0	-271
145	2	0	0	-273
146	2	0	0	-275
147	2	0	0	-277
148	2	0	0	-279
149	2	0	0	-281
150	2	0	0	-283
151	2	0	0	-285
152	2	0	0	-287
153	2	0	0	-289
154	2	0	0	-291
155	2	0	0	-293
156	2	0	0	-295
157	2	0	0	-297
158	2	0	0	-299
159	2	0	0	-301
160	2	0	0	-303
161	2	0	0	-305
162	2	0	0	-307
163	2	0	0	-309
164	2	0	0	-311
165	2	0	0	-313
166	2	0	0	-315
167	2	0	0	-317
168	2	0	0	-319
169	2	0	0	-321
170	2	0	0	-323
171	2	0	0	-325
172	2	0	0	-327
173	2	0	0	-329
174	2	0	0	-331
175	2	0	0	-333
176	2	0	0	-335
177	2	0	0	-337
178	2	0	0	-339
179	2	0	0	-341
180	2	0	0	-343
181	2	0	0	-345
182	2	0	0	-347
183	2	0	0	-349
184	2	0	0	-351
185	2	0	0	-353
186	2	0	0	-355
187	2	0	0	-357
188	2	0	0	-359
189	2	0	0	-361
190	2	0	0	-363
191	2	0	0	-365
192	2	0	0	-367
193	2	0	0	-369
194	2	0	0	-371
195	2	0	0	-373
196	2	0	0	-375
197	2	0	0	-377
198	2	0	0	-379
199	2	0	0	-381
200	2	0	0	-383
201	2	0	0	-385
202	2	0	0	-387
203	2	0	0	-389
204	2	0	0	-391
205	2	0	0	-393
206	2	0	0	-395
207	2	0	0	-397
208	2	0	0	-399
209	2	0	0	-401
210	2	0	0	-403
211	2	0	0	-405
212	2	0	0	-407
213	2	0	0	-409
214	2	0	0	-411
215	2	0	0	-413
216	2	0	0	-415
217	2	0	0	-417
218	2	0	0	-419
219	2	0	0	-421
220	2	0	0	-423
221	2	0	0	-425
222	2	0	0	-427
223	2	0	0	-429
224	2	0	0	-431
225	2	0	0	-433
226	2	0	0	-435
227	2	0	0	-437
228	2	0	0	-439
229	2	0	0	-441
230	2	0	0	-443
231	2	0	0	-445
232	2	0	0	-447
233	2	0	0	-449
234	2	0	0	-451
235	2	0	0	-453
236	2	0	0	-455
237	2	0	0	-457
238	2	0	0	-459
239	2	0	0	-461
240	2	0	0	-463
241	2	0	0	-465
242	2	0	0	-467
243	2	0	0	-469
244	2	0	0	-471
245	2	0	0	-473
246	2	0	0	-475
247	2	0	0	-477
248	2	0	0	-479
249	2	0	0	-481
250	2	0	0	-483
251	2	0	0	-485
252	2	0	0	-487
253	2	0	0	-489
254	2	0	0	-491
255	2	0	0	-493
256	2	0	0	-495
257	2	0	0	-497
258	2	0	0	-499
259	2	0	0	-501
260	2	0	0	-503
261	2	0	0	-505
262	2	0	0	-507
263	2	0	0	-509
264	2	0	0	-511
265	2	0	0	-513
266	2	0	0	-515
267	2	0	0	-517
268	2	0	0	-519
269	2	0	0	-521
270	2	0	0	-523
271	2	0	0	-525
272	2	0	0	-527
273	2	0	0	-529
274	2	0	0	-531
275	2	0	0	-533
276	2	0	0	-535
277	2	0	0	-537
278	2	0	0	-539
279	2	0	0	-541
280	2	0	0	-543
281	2	0	0	-545
282	2	0	0	-547
283	2	0	0	-549
284	2	0	0	-551
285	2	0	0	-553
286	2	0	0	-555
287	2	0	0	-557
288	2	0	0	-559
289	2	0	0	-561
290	2	0	0	-563
291	2	0	0	-565
292	2	0	0	-567
293	2	0	0	-569
294	2	0	0	-571
295	2	0	0	-573
296	2	0	0	-575
297	2	0	0	-577
298	2	0	0	-579
299	2	0	0	-581
300	2	0	0	-583
301	2	0	0	-585
302	2	0	0	-587
303	2	0	0	-589
304	2	0	0	-591
305	2	0	0	-593
306	2	0	0	-595
307	2	0	0	-597
308	2	0	0	-599
309	2	0	0	-601
310	2	0	0	-603
311	2	0	0	-605
312	2	0	0	-607
313	2	0	0	-609
314	2	0	0	-611
315	2	0	0	-613
316	2	0	0	-615
317	2	0	0	-617
318	2	0	0	-619
319	2	0	0	-621
320	2	0	0	-623
321	2	0	0	-625
322	2	0	0	-627
323	2	0	0	-629
324	2	0	0	-631
325	2	0	0	-633
326	2	0	0	-635
327	2	0	0	-637
328	2	0	0	-639
329	2	0	0	-641
330	2	0	0	-643
331	2	0	0	-645
332	2	0	0	-647
333	2	0	0	-649
334	2	0	0	-651
335	2	0	0	-653
336	2	0	0	-655
337	2	0	0	-657
338	2	0	0	-659
339	2	0	0	-661
340	2	0	0	-663
341	2	0	0	-665
342	2	0	0	-667
343	2	0	0	-669
344	2	0	0	-671
345	2	0	0	-673
346	2	0	0	-675
347	2	0	0	-677
348	2	0	0	-679
349	2	0	0	-681
350	2	0	0	-683
351	2	0	0	-685
352	2	0	0	-687
353	2	0	0	-689
354	2	0	0	-691
355	2	0	0	-693
356	2	0	0	-695
357	2	0	0	-697
358	2	0	0	-699
359	2	0	0	-701
360	2	0	0	-703
361	2	0	0	-705
362	2	0	0	-707
363	2	0	0	-709
364	2	0	0	-711
365	2	0	0	-713
366	2	0	0	-715
367	2	0	0	-717
368	2	0	0	-719
369	2	0	0	-721
370	2	0	0	-723
371	2	0	0	-725
372	2	0	0	-727
373	2	0	0	-729
374	2	0	0	-731
375	2	0	0	-733
376	2	0	0	-735
377	2	0	0	-737
378	2	0	0	-739
379	2	0	0	-741
380	2	0	0	-743
381	2	0	0	-745
382	2	0	0	-747
383	2	0	0	-749
384	2	0	0	-751
385	2	0	0	-753
386	2	0	0	-755
387	2	0	0	-757
388	2	0	0	-759
389	2	0	0	-761
390	2	0	0	-763
391	2	0	0	-765
392	2	0	0	-767
393	2	0	0	-769
394	2	0	0	-771
395	2	0	0	-773
396	2	0	0	-775
397	2	0	0	-777
398	2	0	0	-779
399	2	0	0	-781
400	2	0	0	-783
401	2	0	0	-785
402	2	0	0	-787
403	2	0	0	-789
404	2	0	0	-791
405	2	0	0	-793
406	2	0	0	-795
407	2	0	0	-797
408	2	0	0	-799
409	2	0	0	-801
410	2	0	0	-803
411	2	0	0	-805
412	2	0	0	-807
413	2	0	0	-809
414	2	0	0	-811
415	2	0	0	-813
416	2	0	0	-815
417	2	0	0	-817
418	2	0	0	-819
419	2	0	0	-821
420	2	0	0	-823
421	2	0	0	-825
422	2	0	0	-827
423	2	0	0	-829
424	2	0	0	-831
425	2	0	0	-833
426	2	0	0	-835
427	2	0	0	-837
428	2	0	0	-839
429	2	0	0	-841
430	2	0	0	-843
431	2	0	0	-845
432	2	0	0	-847
433	2	0	0	-849
434	2	0	0	-851
435	2	0	0	-853
436	2	0	0	-855
437	2	0	0	-857
438	2	0	0	-859
439	2	0	0	-861
440	2	0	0	-863
441	2	0	0	-865
442	2	0	0	-867
443	2	0	0	-869
444	2	0	0	-871
445	2	0	0	-873
446	2	0	0	-875
447	2	0	0	-877
448	2	0	0	-879
449	2	0	0	-881
450	2	0	0	-883
451	2	0	0	-885
452	2	0	0	-887
453	2	0	0	-889
454	2	0	0	-891
455	2	0	0	-893
456	2	0	0	-895
457	2	0	0	-897
458	2	0	0	-899
459	2	0	0	-901
460	2	0	0	-903
461	2	0	0	-905
462	2	0	0	-907
463	2	0	0	-909
464	2	0	0	-911
465	2	0	0	-913
466	2	0	0	-915
467	2	0	0	-917
468	2	0	0	-919
469	2	0	0	-921
470	2	0	0	-923
471	2	0	0	-925
472	2	0	0	-927
473	2	0	0	-929
474	2	0	0	-931
475	2	0	0	-933
476	2	0	0	-935
477	2	0	0	-937
478	2	0	0	-939
479	2	0	0	-941
480	2	0	0	-943
481	2	0	0	-945
482	2	0	0	-947
483	2	0	0	-949
484	2	0	0	-951
485	2	0	0	-953
486	2	0	0	-955
487	2	0	0	-957
488	2	0	0	-959
489	2	0	0	-961
490	2	0	0	-963
491	2	0	0	-965
492	2	0	0	-967
493	2	0	0	-969
494	2	0	0	-971
495	2	0	0	-973
496	2	0	0	-975
497	2	0	0	-977
498	2	0	0	-979
499	2	0	0	-981
500	2	0	0	-983
501	2	0	0	-985
502	2	0	0	-987
503	2	0	0	-989
504	2	0	0	-991
505	2	0	0	-993
506	2	0	0	-995
507	2	0	0	-997
508	2	0	0	-999
509	2	0	0	-1001
510	2	0	0	-1003
511	2	0	0	-1005
512	2	0	0	-1007
513	2	0	0	-1009
514	2	0	0	-1011
515	2	0	0	-1013
516	2	0	0	-1015
517	2	0	0	-1017
518	2	0	0	-1019
519	2	0	0	-1021
520	2	0	0	-1023
521	2	0	0	-1025
522	2	0	0	-1027
523	2	0	0	-1029
524	2	0	0	-1031
525	2	0	0	-1033
526	2	0	0	-1035
527	2	0	0	-1037
528	2	0	0	-1039
529	2	0	0	-1041
530	2	0	0	-1043
531	2	0	0	-1045
532	2	0	0	-1047
533	2	0	0	-1049
534	2	0	0	-1051
535	2	0	0	-1053
536	2	0	0	-1055
537	2	0	0	-1057
538	2	0	0	-1059
539	2	0	0	-1061
540	2	0	0	-1063
541	2	0	0	-1065
542	2	0	0	-1067
543	2	0	0	-1069
544	2	0	0	-1071
545	2	0	0	-1073
546	2	0	0	-1075
547	2	0	0	-1077
548	2	0	0	-1079
549	2	0	0	-1081
550	2	0	0	-1083
551	2	0	0	-1085
552	2	0	0	-1087
553	2	0	0	-1089
554	2	0	0	-1091
555	2	0	0	-1093
556	2	0	0	-1095
557	2	0	0	-1097
558	2	0	0	-1099
559	2	0	0	-1101
560	2	0	0	-1103
561	2	0	0	-1105
562	2	0	0	-1107
563	2	0	0	-1109
564	2	0	0	-1111
565	2	0	0	-1113
566	2	0	0	-1115
567	2	0	0	-1117
568	2	0	0	-1119
569	2	0	0	-1121
570	2	0	0	-1123
571	2	0	0	-1125
572	2	0	0	-1127
573	2	0	0	-1129
574	2	0	0	-1131
575	2	0	0	-1133
576	2	0	0	-1135
577	2	0	0	-1137
578	2	0	0	-1139
579	2	0	0	-1141
580	2	0	0	-1143
581	2	0	0	-1145
582	2	0	0	-1147
583	2	0	0	-1149
584	2	0	0	-1151
585	2	0	0	-1153
586	2	0	0	-1155
587	2	0	0	-1157
588	2	0	0	-1159
589	2	0	0	-1161
590	2	0	0	-1163
591	2	0	0	-1165
592	2	0	0	-1167
593	2	0	0	-1169
594	2	0	0	-1171
595	2	0	0	-1173
596	2	0	0	-1175
597	2	0	0	-1177
598	2	0	0	-1179
599	2	0	0	-1181
600	2	0	0	-1183
